API_WellNo,Cnty,Well_Type,Well_Status,Producing_name,Producing_formation,Proposed_depth,Surface_Longitude,Surface_Latitude,Bottom_hole_longitude,Bottom_hole_latitude,True_vertical_depth,Measured_depth,GasProd,OilProd,WaterProd,Year
24012181361672,CountyC,Gas,Active,Field2,Formation2,4352,-96.75488199824657,39.17268066577681,-96.25459881152638,31.16898040708364,2417,3280,708.9627218861069,471.760799737054,304,2005
89418511661948,CountyA,Gas,Active,Field3,Formation2,4478,-97.30488137707728,34.065905373594724,-90.49285693590085,39.39832123613475,2681,4749,880.7326703524836,678.9669418776542,27,2010
30087839072036,CountyA,Gas,Active,Field1,Formation1,4927,-98.09073414928356,31.43281458702641,-92.68006058188595,36.27708053071418,1113,3538,1371.2961272535995,653.2273089172795,287,2010
28316077141053,CountyA,Oil,Inactive,Field1,Formation2,4684,-93.05359041106273,37.14718833502036,-94.01341515802963,33.34905614657086,1927,2016,1113.9302908122688,637.8372281987495,354,2005
59875564545465,CountyB,Gas,Inactive,Field3,Formation1,3841,-97.81284387002073,32.9335342144101,-98.43981359557563,31.392720726633872,2016,1443,709.5862724469264,431.05148415905046,966,2010
98018998675619,CountyC,Gas,Inactive,Field3,Formation2,3947,-94.0469673407251,35.25470307355893,-98.44005479663798,37.94025189270296,728,3067,906.9076883845289,338.02363283277697,838,2015
70809282135559,CountyC,Gas,Inactive,Field3,Formation2,2381,-97.35364973074643,36.9783278550517,-99.419163878318,36.200727559285134,2329,4682,815.7030567711117,407.9618591955808,980,2015
17255433455139,CountyB,Oil,Active,Field1,Formation2,1674,-93.38031055206132,39.002641112020704,-91.33823854225065,35.334610919763215,1829,4798,787.0633023299395,529.4361411000081,543,2000
43189408480852,CountyB,Oil,Active,Field2,Formation2,2008,-91.8506027145946,37.92191194801676,-93.9888498825679,38.938925830509575,2432,4627,1293.6668675670337,581.8680070298533,677,2010
99872404835535,CountyA,Oil,Active,Field1,Formation1,2226,-92.21974756855347,36.76361067872724,-92.91927422203955,37.885972112245305,618,1110,588.4770612209484,174.26428928593288,403,2010
95579814974155,CountyA,Oil,Inactive,Field3,Formation2,2635,-92.39148669069218,36.796331823951434,-99.79415505704198,31.516748797327512,2871,3534,1482.634256720312,498.78301975823746,135,2005
72015706741477,CountyA,Gas,Inactive,Field2,Formation1,1280,-98.12277594307749,39.45924644032087,-90.30090147838006,33.11722067795548,1420,1088,1248.4689070553868,523.7133837984777,67,2015
29417611666532,CountyA,Gas,Inactive,Field3,Formation1,3963,-99.11615053015481,32.95824097496536,-91.67557359199579,32.484891398144654,2706,4390,1327.2585011811093,458.36836155266724,153,2020
34310857988734,CountyA,Gas,Inactive,Field1,Formation2,2280,-93.01051171512614,30.011120941961874,-97.87660889321724,37.43946292572677,2786,2941,861.1181463924225,693.6910758523818,462,2000
85218356176550,CountyA,Oil,Active,Field2,Formation2,4165,-96.31652786205649,32.719545593981984,-98.181750327929,30.335324347357794,2943,4310,955.0177842762672,563.2670111376307,325,2015
88964803918592,CountyB,Oil,Inactive,Field2,Formation1,1323,-95.67653773596652,32.17891379626744,-98.16595490146567,35.69889684871316,819,1071,570.0544556425864,696.5287862121345,815,2005
97026999554324,CountyB,Gas,Inactive,Field1,Formation2,3838,-99.68850907206608,36.61834585113998,-96.95757757040462,37.624586857406904,2856,1821,842.6012778799591,467.60592194746516,95,2000
57842819299515,CountyB,Gas,Active,Field3,Formation2,4810,-97.40423550724951,36.33711599765529,-94.75243568367762,38.76765636761749,2796,4470,1148.0964542929453,640.6216238760387,196,2020
38019773419629,CountyC,Gas,Active,Field3,Formation1,4433,-99.66323596125535,35.93461382704724,-95.68054981357884,33.42081748715908,1200,1815,1388.8189185344188,745.2599591791279,107,2000
44838903317024,CountyC,Oil,Inactive,Field3,Formation2,2685,-91.20814227398752,30.162434432094535,-97.08770859801957,38.21257304672013,2941,1403,667.8529549592645,696.7540173908992,45,2015
20313978671846,CountyA,Gas,Inactive,Field1,Formation1,4422,-97.5660331678147,37.287780544506475,-93.8814710527762,31.106317369552073,1517,2698,890.3482189044203,336.17876098569,185,2020
67449940185420,CountyB,Gas,Active,Field3,Formation2,2085,-94.42662830426993,33.23530412485491,-98.60506139347959,38.46452291734518,905,5346,954.6102339302433,461.94858836864285,453,2005
69376584373380,CountyC,Oil,Inactive,Field2,Formation2,4712,-99.6102067933887,36.65055989006631,-97.07855351464782,31.274886623319823,1704,3916,581.2632393422545,448.22529418253055,322,2000
65315999613710,CountyC,Oil,Active,Field3,Formation2,3234,-93.33152608694343,35.565784285021536,-96.33638156706309,33.97287290560367,2568,3042,1177.40477252752,573.3881802614492,284,2015
79201606836763,CountyB,Gas,Active,Field3,Formation2,4651,-96.76972654245907,33.42730925427907,-95.43930015782963,37.972953657795536,2198,2953,782.8029004772172,602.9530332521799,82,2005
57137258321430,CountyC,Oil,Inactive,Field2,Formation2,3962,-91.02080813042335,31.34576267104108,-92.14824038606986,31.49917427348774,2106,5963,941.3828946468929,374.16609889613954,649,2020
34117048502892,CountyC,Gas,Active,Field2,Formation2,1541,-91.11881811065965,30.94418897660481,-98.0032621784164,32.292513952326416,654,4293,864.4151884264367,510.17577708754067,326,2000
22698413571981,CountyB,Gas,Inactive,Field3,Formation1,3944,-96.74709381638252,38.315183331122235,-94.85765561586388,37.22252568393066,2351,4702,763.1984482840977,197.01090017657953,748,2010
